#MAIN_PLAN,ADDITIONAL_PLAN,PKG_TYPE
KARNATAKA ROYAL PP 1M,KARNATAKA ADDITIONAL ROYAL PP 1M,0
KARNATAKA ROYAL PP 3M,KARNATAKA ADDITIONAL ROYAL PP 3M,0
KARNATAKA ROYAL PP 6M,KARNATAKA ADDITIONAL ROYAL PP 6M,0
KARNATAKA ROYAL SP 12M,KARNATAKA ADDITIONAL ROYAL SP 12M,0
KARNATAKA ROYAL SP 1M,KARNATAKA ADDITIONAL ROYAL SP 1M,0
KARNATAKA ROYAL SP 3M,KARNATAKA ADDITIONAL ROYAL SP 3M,0
KARNATAKA ROYAL SP 6M,KARNATAKA ADDITIONAL ROYAL SP 6M,0
MP BASIC SERVICE TIER PP 12M,MP ADDITIONAL BASIC SERVICE TIER PP 12M,0
MP BASIC SERVICE TIER PP 1M,MP ADDITIONAL BASIC SERVICE TIER PP 1M,0
MP BASIC SERVICE TIER PP 3M,MP ADDITIONAL BASIC SERVICE TIER PP 3M,0
MP BASIC SERVICE TIER PP 6M,MP ADDITIONAL BASIC SERVICE TIER PP 6M,0
MP BASIC SERVICE TIER SP 12M,MP ADDITIONAL BASIC SERVICE TIER SP 12M,0
MP BASIC SERVICE TIER SP 1M,MP ADDITIONAL BASIC SERVICE TIER SP 1M,0
MP BASIC SERVICE TIER SP 3M,MP ADDITIONAL BASIC SERVICE TIER SP 3M,0
MP BASIC SERVICE TIER SP 6M,MP ADDITIONAL BASIC SERVICE TIER SP 6M,0
MP PRIME PP 12M,MP ADDITIONAL PRIME PP 12M,0
MP PRIME PP 1M,MP ADDITIONAL PRIME PP 1M,0
MP PRIME PP 3M,MP ADDITIONAL PRIME PP 3M,0
MP PRIME PP 6M,MP ADDITIONAL PRIME PP 6M,0
MP PRIME SP 12M,MP ADDITIONAL PRIME SP 12M,0
MP PRIME SP 1M,MP ADDITIONAL PRIME SP 1M,0
MP PRIME SP 3M,MP ADDITIONAL PRIME SP 3M,0
MP PRIME SP 6M,MP ADDITIONAL PRIME SP 6M,0
MP ROYAL PP 12M,MP ADDITIONAL ROYAL PP 12M,0
MP ROYAL PP 1M,MP ADDITIONAL ROYAL PP 1M,0
MP ROYAL PP 3M,MP ADDITIONAL ROYAL PP 3M,0
MP ROYAL PP 6M,MP ADDITIONAL ROYAL PP 6M,0
MP ROYAL SP 12M,MP ADDITIONAL ROYAL SP 12M,0
MP ROYAL SP 1M,MP ADDITIONAL ROYAL SP 1M,0
MP ROYAL SP 3M,MP ADDITIONAL ROYAL SP 3M,0
MP ROYAL SP 6M,MP ADDITIONAL ROYAL SP 6M,0
UP DIGITAL POPULAR PACKAGE,UP ADDITIONAL DIGITAL POPULAR PACKAGE,0
UP DIGITAL POPULAR PACKAGE ADV,UP ADDITIONAL DIGITAL POPULAR PACKAGE ADV,0
UP DIGITAL PREMIUM PACKAGE,UP ADDITIONAL DIGITAL PREMIUM PACKAGE,0
UP DIGITAL PREMIUM PACKAGE ADV,UP ADDITIONAL DIGITAL PREMIUM PACKAGE ADV,0
UP DIGITAL STARTER PACKAGE,UP ADDITIONAL DIGITAL STARTER PACKAGE,0
UP DIGITAL STARTER PACKAGE ADV,UP ADDITIONAL DIGITAL STARTER PACKAGE ADV,0
VIZAG DIAMOND PACKAGE,VIZAG ADDITONAL DIAMOND PACKAGE,0
VIZAG DIAMOND PACKAGE ADV,VIZAG ADDITONAL DIAMOND PACKAGE ADV,0
VIZAG GOLD PACKAGE,VIZAG ADDITIONAL GOLD PACKAGE,0
VIZAG GOLD PACKAGE ADV,VIZAG ADDITIONAL GOLD PACKAGE ADV,0
VIZAG JANAPRIYA PACKAGE,VIZAG ADDITIONAL JANAPRIYA PACKAGE,0
VIZAG JANAPRIYA PACKAGE ADV,VIZAG ADDITIONAL JANAPRIYA PACKAGE ADV,0
VIZAG JANATA PACKAGE,VIZAG ADDITIONAL JANATA PACKAGE,0
VIZAG JANATA PACKAGE ADV,VIZAG ADDITIONAL JANATA PACKAGE ADV,0
WEST  DIGITAL STARTER PACKAGE,WEST ADDITIONAL DIGITAL STARTER PACKAGE,0
WEST  DIGITAL STARTER PACKAGE 12M,WEST ADDITIONAL DIGITAL STARTER PACKAGE 12M,0
WEST  DIGITAL STARTER PACKAGE 1M,WEST ADDITIONAL DIGITAL STARTER PACKAGE 1M,0
WEST  DIGITAL STARTER PACKAGE 3M,WEST ADDITIONAL DIGITAL STARTER PACKAGE 3M,0
WEST  DIGITAL STARTER PACKAGE 6M,WEST ADDITIONAL DIGITAL STARTER PACKAGE 6M,0
WEST  DIGITAL STARTER PACKAGE ADV,WEST ADDITIONAL DIGITAL STARTER PACKAGE ADV,0
WEST BASIC SERVICE TIER PP 12M,WEST ADDITIONAL BASIC SERVICE TIER PP 12M,0
WEST BASIC SERVICE TIER PP 1M,WEST ADDITIONAL BASIC SERVICE TIER PP 1M,0
WEST BASIC SERVICE TIER PP 3M,WEST ADDITIONAL BASIC SERVICE TIER PP 3M,0
WEST BASIC SERVICE TIER PP 6M,WEST ADDITIONAL BASIC SERVICE TIER PP 6M,0
WEST BASIC SERVICE TIER SP 12M,WEST ADDITIONAL BASIC SERVICE TIER SP 12M,0
WEST BASIC SERVICE TIER SP 1M,WEST ADDITIONAL BASIC SERVICE TIER SP 1M,0
WEST BASIC SERVICE TIER SP 3M,WEST ADDITIONAL BASIC SERVICE TIER SP 3M,0
WEST BASIC SERVICE TIER SP 6M,WEST ADDITIONAL BASIC SERVICE TIER SP 6M,0
WEST DIGITAL POPULAR PACKAGE,WEST DIGITAL ADDITIONAL POPULAR PACKAGE,0
WEST DIGITAL POPULAR PACKAGE 12M,WEST DIGITAL ADDITIONAL POPULAR PACKAGE 12M,0
WEST DIGITAL POPULAR PACKAGE 1M,WEST DIGITAL ADDITIONAL POPULAR PACKAGE 1M,0
WEST DIGITAL POPULAR PACKAGE 3M,WEST DIGITAL ADDITIONAL POPULAR PACKAGE 3M,0
WEST DIGITAL POPULAR PACKAGE 6M,WEST DIGITAL ADDITIONAL POPULAR PACKAGE 6M,0
WEST DIGITAL POPULAR PACKAGE ADV,WEST DIGITAL ADDITIONAL POPULAR PACKAGE ADV,0
WEST DIGITAL POPULAR PLUS,WEST DIGITAL ADDITIONAL POPULAR PLUS,0
WEST DIGITAL POPULAR PLUS 12M,WEST DIGITAL ADDITIONAL POPULAR PLUS 12M,0
WEST DIGITAL POPULAR PLUS 1M,WEST DIGITAL ADDITIONAL POPULAR PLUS 1M,0
WEST DIGITAL POPULAR PLUS 3M,WEST DIGITAL ADDITIONAL POPULAR PLUS 3M,0
WEST DIGITAL POPULAR PLUS 6M,WEST DIGITAL ADDITIONAL POPULAR PLUS 6M,0
WEST DIGITAL POPULAR PLUS ADV,WEST DIGITAL ADDITIONAL POPULAR PLUS ADV,0
WEST DIGITAL PREMIUM PACKAGE,WEST ADDITIONAL DIGITAL PREMIUM PACKAGE,0
WEST DIGITAL PREMIUM PACKAGE 12M,WEST ADDITIONAL DIGITAL PREMIUM PACKAGE 12M,0
WEST DIGITAL PREMIUM PACKAGE 1M,WEST ADDITIONAL DIGITAL PREMIUM PACKAGE 1M,0
WEST DIGITAL PREMIUM PACKAGE 3M,WEST ADDITIONAL DIGITAL PREMIUM PACKAGE 3M,0
WEST DIGITAL PREMIUM PACKAGE 6M,WEST ADDITIONAL DIGITAL PREMIUM PACKAGE 6M,0
WEST DIGITAL PREMIUM PACKAGE ADV,WEST ADDITIONAL DIGITAL PREMIUM PACKAGE ADV,0
WEST DIGITAL PREMIUM PLUS PACKAGE,WEST ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE,0
WEST DIGITAL PREMIUM PLUS PACKAGE 12M,WEST ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE 12M,0
WEST DIGITAL PREMIUM PLUS PACKAGE 1M,WEST ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE 1M,0
WEST DIGITAL PREMIUM PLUS PACKAGE 3M,WEST ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE 3M,0
WEST DIGITAL PREMIUM PLUS PACKAGE 6M,WEST ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE 6M,0
WEST DIGITAL PREMIUM PLUS PACKAGE ADV,WEST ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE ADV,0
WEST PRIME PP 12M,WEST ADDITIONAL PRIME PP 12M,0
WEST PRIME PP 1M,WEST ADDITIONAL PRIME PP 1M,0
WEST PRIME PP 3M,WEST ADDITIONAL PRIME PP 3M,0
WEST PRIME PP 6M,WEST ADDITIONAL PRIME PP 6M,0
